leaf_index,target_section_count,predicted_section_count,section_count_absolute_error,geometry_rms_m,geometry_rms_normalized,position,size,section_count,total,station_x_m_mae,center_yz_m_mae,width_m_mae,width_m_relative_percent_mean,height_m_mae,height_m_relative_percent_mean,length_m_mae,length_m_relative_percent_mean
64,7,7,0,0.009657731074415225,0.01003205085247294,0.0029832166619598866,0.004352738615125418,9.65590606938349e-06,0.007355267181992531,0.009016696363687515,0.0010625921422615647,0.0028564759995788336,3.1291162967681885,0.0010291141225025058,1.4248992204666138,0.014545679092407227,1.5109448432922363
65,4,4,0,0.019028560673012722,0.024984832646642707,0.0005700393812730908,0.00335758738219738,2.9802276912960224e-06,0.003933587111532688,0.017974521964788437,0.0010876222513616085,0.0022001201286911964,2.4358458518981934,0.002121906727552414,1.7231392860412598,0.03650432825088501,4.793082237243652
66,4,4,0,0.008276878022271346,0.008588412174435369,0.0005089554470032454,0.0013798372820019722,5.602820692729438e-06,0.001899998402222991,0.007624715566635132,0.0005620190058834851,0.002001965418457985,1.8013863563537598,0.0012745559215545654,1.1248724460601807,0.0217096209526062,2.2526750564575195
67,8,8,0,0.01363047835099384,0.016221942047717333,0.00321420980617404,0.01949412375688553,1.3708974620385561e-05,0.022735752165317535,0.012368088588118553,0.0009093091357499361,0.0047894977033138275,5.3811540603637695,0.00531887449324131,4.775294780731201,0.009279787540435791,1.104408621788025
68,5,5,0,0.006464254550199944,0.006587804229830646,0.00010923096851911396,0.0018140880856662989,1.1920922133867862e-06,0.0019257032545283437,0.005208085756748915,0.002096678828820586,0.0017862692475318909,1.8471893072128296,0.0007194869103841484,0.9792652130126953,0.011393487453460693,1.1611248254776
69,3,3,0,0.0027198895376174394,0.004666351732971404,0.00013526396651286632,0.0009770927717909217,3.4570634852570947e-06,0.001119270920753479,0.0021408002357929945,0.0006294461200013757,0.0007909226114861667,0.9694592952728271,0.0010126195847988129,1.2596356868743896,0.0004961490631103516,0.08512132614850998
70,8,8,0,0.03461697167608979,0.04293942752022205,0.00538355577737093,0.02700182795524597,1.6689286894688848e-06,0.03238872066140175,0.03306994587182999,0.0008830009610392153,0.007186624221503735,5.658902168273926,0.007188144605606794,6.216055870056152,0.06393104791641235,7.930105686187744
71,8,8,0,0.04526331132758118,0.04875479493972753,0.005511933006346226,0.024280022829771042,3.576278118089249e-07,0.029792670160531998,0.04453989863395691,0.000907957786694169,0.005445266608148813,6.165288925170898,0.007574018090963364,5.446010589599609,0.0827224850654602,8.910346031188965
72,6,6,0,0.006705723211942498,0.007405142422164282,0.002320163184776902,0.005574224516749382,1.311301275563892e-06,0.007897010073065758,0.005636831279844046,0.0016158439684659243,0.004534158855676651,3.4540328979492188,0.0019835438579320908,1.6339348554611206,0.011549949645996094,1.2754631042480469
73,3,3,0,0.010440744546851344,0.011411552702255025,0.00019448534294497222,0.0007165262941271067,3.6954811548639555e-06,0.0009184026275761425,0.010170966386795044,0.0005540119018405676,0.0011279433965682983,1.1574209928512573,0.0008652632823213935,0.9707326292991638,0.021087050437927246,2.3047780990600586
74,6,6,0,0.003837610026840214,0.00750449181987937,0.0011910313041880727,0.0039220997132360935,1.7881377516459906e-06,0.005116707179695368,0.0026016782503575087,0.0009676326299086213,0.0022164019756019115,1.8975830078125,0.0033998247236013412,2.9006972312927246,0.007755756378173828,1.5166473388671875
75,2,2,0,0.005626337009538517,0.007277650528357248,4.38221322838217e-05,0.0005617957795038819,6.6756979322235566e-06,0.0006189692649058998,0.004966527223587036,0.0007211881456896663,0.00029778294265270233,0.6205391883850098,0.0008011888712644577,1.2664358615875244,0.009933054447174072,1.2848377227783203
76,3,3,0,0.005274857092803645,0.007802640580143596,0.0002989560889545828,0.00032239954452961683,2.3841830625315197e-06,0.0006261239759624004,0.004575829021632671,0.0008718075696378946,0.0008087543537840247,0.8907903432846069,0.00023154914379119873,0.27322766184806824,0.013170778751373291,1.9482395648956299
77,3,3,0,0.012904974171608118,0.013325266259800747,0.000237390398979187,0.00048600812442600727,3.576272320060525e-06,0.0007305510807782412,0.012771865352988243,0.0004372452385723591,0.0004841101763304323,0.7576780319213867,0.0006583742797374725,0.8135359287261963,0.02017998695373535,2.083721399307251
78,3,3,0,0.003847370685640266,0.003953884516899697,0.00010922832734650001,0.0005202865577302873,1.1920922133867862e-06,0.0006318990490399301,0.0031133792363107204,0.0007727144984528422,0.001037880778312683,1.3203638792037964,0.00028751915670000017,0.3581182360649109,0.0018585920333862305,0.191004678606987
79,3,3,0,0.006304939935564313,0.007925518182576112,0.00035086614661850035,0.0005444618291221559,1.6689286894688848e-06,0.0008986658649519086,0.005894164554774761,0.0007107888231985271,0.0012018221896141768,0.9391505122184753,0.00037952762795612216,0.5500887632369995,0.013486146926879883,1.6952532529830933
