leaf_index,target_section_count,predicted_section_count,section_count_absolute_error,geometry_rms_m,geometry_rms_normalized,position,chord,twist,cst_code,section_count,total,cst_shape_coefficients_mae,cst_trailing_edge_y_mae,cst_n1_n2_mae,leading_edge_xyz_m_mae,chord_m_mae,chord_m_relative_percent_mean,twist_rad_mae
43,3,3,0,0.028207937414133532,0.09328606550273984,0.01612326316535473,0.02060922048985958,0.004297934472560883,0.20656175911426544,1.1920928244535389e-07,0.3120855987071991,0.026036163792014122,0.00033089364296756685,0.019575482234358788,0.010556950233876705,0.007734219543635845,5.08772087097168,0.0015870262868702412
44,6,6,0,0.04145129985006321,0.08290259970012642,0.025119885802268982,0.01817403733730316,0.01734299771487713,0.46389541029930115,7.152555099310121e-07,0.6250140070915222,0.03830702602863312,0.0010546572739258409,0.018665675073862076,0.01672181859612465,0.007821459323167801,4.910403251647949,0.003495288547128439
45,4,4,0,0.04901274584595249,0.07005798420705084,0.02111879363656044,0.006377938203513622,0.038197487592697144,0.6027967929840088,4.768370445162873e-07,0.7529675960540771,0.040433358401060104,0.0005101182614453137,0.027064282447099686,0.019353974610567093,0.0079396553337574,3.1719741821289062,0.0059042684733867645
46,2,2,0,0.057986183950127196,0.15549281937503093,0.03109055571258068,0.043870288878679276,0.03800544887781143,0.12397293001413345,1.1920928244535389e-07,0.3613017797470093,0.020210230723023415,0.00038914798642508686,0.011401273310184479,0.02264799177646637,0.013054683804512024,8.120366096496582,0.004971630871295929
47,7,7,0,0.023040269121147948,0.046080538242295896,0.00732533959671855,0.020830495283007622,0.012053080834448338,0.42966562509536743,1.5497195136049413e-06,0.49918055534362793,0.03838185593485832,0.00047767258365638554,0.019826188683509827,0.009558521211147308,0.005216960795223713,4.466475486755371,0.002450633328408003
48,3,3,0,0.007387761176695196,0.014775522353390393,0.006759385112673044,0.0002888799936044961,0.012131267227232456,0.18412016332149506,-0.0,0.2303372323513031,0.023502806201577187,0.0005324080120772123,0.01009423565119505,0.003851533867418766,0.0010126109700649977,0.6532734036445618,0.0030516432598233223
49,3,3,0,0.07531253692486978,0.2183933895697878,0.06324055045843124,0.2193065881729126,0.09527605026960373,1.6827799081802368,0.00019178935326635838,2.314140558242798,0.05383904650807381,0.0015238620107993484,0.038660790771245956,0.03780420497059822,0.025541391223669052,9.533966064453125,0.00930483266711235
50,6,6,0,0.02355607999257205,0.03418285016828172,0.004536804277449846,0.012687359936535358,0.00578905688598752,0.35277998447418213,2.3841855067985307e-07,0.39394113421440125,0.03408362343907356,0.0008182032033801079,0.01728270947933197,0.009265744127333164,0.006962120532989502,3.3452231884002686,0.0018488329369574785
51,3,3,0,0.03543160160044472,0.09378429058191641,0.00961273442953825,0.0533217191696167,0.01006328221410513,0.25933459401130676,3.576278118089249e-07,0.37078434228897095,0.02664962410926819,0.0003821965947281569,0.0229298435151577,0.014827112667262554,0.004948487039655447,7.516990661621094,0.002529523568227887
52,4,4,0,0.03167028896948392,0.06334057793896784,0.010047011077404022,0.03586896136403084,0.01067526638507843,0.36591464281082153,-0.0,0.4626939296722412,0.031692516058683395,0.0002445722930133343,0.02167309820652008,0.012956755235791206,0.01103445515036583,6.8442816734313965,0.002838808111846447
53,3,3,0,0.02328624862442723,0.043029211226862096,0.005586748942732811,0.00223582168109715,0.007826033048331738,0.0764191523194313,-0.0,0.1144147515296936,0.014351055026054382,0.0005016103386878967,0.010897020809352398,0.010612825863063335,0.0028928096871823072,1.7642886638641357,0.002301980508491397
54,8,8,0,0.02342537624932376,0.04685075249864752,0.006391753442585468,0.012432984076440334,0.008967306464910507,0.4891337752342224,1.1920928244535389e-07,0.5424931645393372,0.03830822557210922,0.0010955852922052145,0.01739245094358921,0.010447464883327484,0.005693021230399609,4.000600814819336,0.0023976676166057587
55,2,2,0,0.02674623762538967,0.10824952849390304,0.01040480937808752,0.02769138664007187,0.010902337729930878,0.3824021816253662,4.887569048150908e-06,0.4730346202850342,0.033759456127882004,0.0011183047899976373,0.014882974326610565,0.011406561359763145,0.010601207613945007,5.190699577331543,0.0031711836345493793
56,8,8,0,0.026415468514327054,0.05283093702865411,0.007467734627425671,0.037564389407634735,0.012067822739481926,0.9210553765296936,-0.0,1.0080262422561646,0.05385642871260643,0.0008627867791801691,0.041326019912958145,0.010710648261010647,0.012210565619170666,6.893538475036621,0.002730519976466894
57,4,4,0,0.03823583754225203,0.09051813540183995,0.019391406327486038,0.05174695700407028,0.007201001048088074,0.44842129945755005,1.1920928244535389e-07,0.6043266654014587,0.03676024451851845,0.0015057936543598771,0.01312291994690895,0.015247393399477005,0.01687667891383171,7.327932357788086,0.0022052577696740627
58,6,6,0,0.020268966483823706,0.04053793296764741,0.00806546863168478,0.03856227546930313,0.018307065591216087,0.5190662741661072,2.3841855067985307e-07,0.6162636876106262,0.04370136559009552,0.0005496713565662503,0.02477167546749115,0.008685562759637833,0.007890377193689346,6.499415874481201,0.0034640436060726643
59,3,3,0,0.025607446727649513,0.14030287929111399,0.006158534903079271,0.02730015479028225,0.002420570235699415,0.11501113325357437,4.768370445162873e-07,0.175525963306427,0.015331094153225422,0.001089542987756431,0.014904966577887535,0.010105343535542488,0.007016371004283428,5.869555473327637,0.001323215663433075
60,6,6,0,0.016853658634890762,0.032194473638699005,0.003631705418229103,0.03963944688439369,0.010057143867015839,0.2886359691619873,-0.0,0.3564910888671875,0.030567841604351997,0.0005898137460462749,0.021716583520174026,0.006835983134806156,0.00798121839761734,5.950744152069092,0.0028317919932305813
